timestep,level,spawn_radius_min,spawn_radius_max,platform_speed_range,successes,episodes,success_rate,mean_success_distance_cm,mean_return,near_miss,timeout,below_platform,tilt_bound,position_bound,terminated_no_reason,blind_fraction,v4_pos_err_m,v4_vel_err_ms,cv_pos_err_m,cv_vel_err_ms
85000,1,0.11,0.14,0.0,0,20,0.0,,-7.910259,0,20,0,0,0,0,0.251,0.08591,0.00679,0.01077,0.21597
90000,1,0.11,0.14,0.0,0,20,0.0,,-7.21035,0,20,0,0,0,0,0.2402,0.0792,0.00662,0.0103,0.22414
95000,1,0.11,0.14,0.0,0,20,0.0,,-6.102671,0,20,0,0,0,0,0.0013,0.05231,0.00569,0.01172,0.23075
100000,1,0.11,0.14,0.0,0,20,0.0,,-6.26318,0,20,0,0,0,0,0.002,0.03455,0.00413,0.01327,0.23547
105000,1,0.11,0.14,0.0,0,20,0.0,,-6.338886,0,20,0,0,0,0,0.0018,0.03117,0.00402,0.01382,0.23636
110000,1,0.11,0.14,0.0,0,20,0.0,,-6.726849,0,20,0,0,0,0,0.0048,0.03431,0.00403,0.01853,0.27932
115000,1,0.11,0.14,0.0,0,20,0.0,,-7.328775,0,20,0,0,0,0,0.0038,0.09323,0.00592,0.02652,0.35611
120000,1,0.11,0.14,0.0,0,20,0.0,,-7.104814,0,20,0,0,0,0,0.0023,0.05471,0.00372,0.02411,0.34506
125000,1,0.11,0.14,0.0,0,20,0.0,,-6.926238,0,20,0,0,0,0,0.0028,0.03201,0.0034,0.02086,0.30479
130000,1,0.11,0.14,0.0,0,20,0.0,,-6.292474,0,20,0,0,0,0,0.0025,0.03497,0.00333,0.01371,0.24604
135000,1,0.11,0.14,0.0,0,20,0.0,,-5.86281,0,20,0,0,0,0,0.0154,0.04847,0.00368,0.01037,0.22232
140000,1,0.11,0.14,0.0,0,20,0.0,,-10.2207,0,20,0,0,0,0,0.3678,0.09822,0.00484,0.00989,0.21952
145000,1,0.11,0.14,0.0,0,20,0.0,,-7.114171,0,20,0,0,0,0,0.1613,0.06283,0.00447,0.00989,0.21171
150000,1,0.11,0.14,0.0,0,20,0.0,,-5.995486,0,20,0,0,0,0,0.0032,0.03713,0.00389,0.01081,0.21774
155000,1,0.11,0.14,0.0,0,20,0.0,,-6.487953,0,20,0,0,0,0,0.002,0.04488,0.00377,0.01501,0.24782
160000,1,0.11,0.14,0.0,0,20,0.0,,-7.032219,0,20,0,0,0,0,0.0008,0.03001,0.00329,0.02271,0.31377
165000,1,0.11,0.14,0.0,0,20,0.0,,-6.899311,0,20,0,0,0,0,0.0002,0.0264,0.00331,0.02093,0.30005
170000,1,0.11,0.14,0.0,0,20,0.0,,-6.25497,0,20,0,0,0,0,0.0007,0.02292,0.00363,0.01272,0.23318
175000,1,0.11,0.14,0.0,0,20,0.0,,-5.946277,0,20,0,0,0,0,0.0372,0.03038,0.0048,0.01047,0.21044
180000,1,0.11,0.14,0.0,0,20,0.0,,-7.033389,0,20,0,0,0,0,0.1537,0.0487,0.00472,0.0103,0.21971
185000,1,0.11,0.14,0.0,0,20,0.0,,-6.008149,0,20,0,0,0,0,0.0022,0.02308,0.00311,0.01149,0.22197
190000,1,0.11,0.14,0.0,0,20,0.0,,-6.229999,0,20,0,0,0,0,0.002,0.01474,0.00329,0.01308,0.23464
195000,1,0.11,0.14,0.0,0,20,0.0,,-6.687547,0,20,0,0,0,0,0.0027,0.02166,0.0025,0.01787,0.26572
200000,1,0.11,0.14,0.0,0,20,0.0,,-6.506207,0,20,0,0,0,0,0.0027,0.01134,0.00253,0.01494,0.23847
205000,1,0.11,0.14,0.0,0,20,0.0,,-6.9229,0,20,0,0,0,0,0.0035,0.01926,0.00267,0.01933,0.27148
210000,1,0.11,0.14,0.0,0,20,0.0,,-6.726066,0,20,0,0,0,0,0.003,0.01283,0.0037,0.01714,0.25662
215000,1,0.11,0.14,0.0,0,20,0.0,,-6.40816,0,20,0,0,0,0,0.0032,0.01468,0.00366,0.0143,0.23612
220000,1,0.11,0.14,0.0,0,20,0.0,,-6.43056,0,20,0,0,0,0,0.0013,0.01245,0.00379,0.01569,0.25482
225000,1,0.11,0.14,0.0,0,20,0.0,,-6.725635,0,20,0,0,0,0,0.0018,0.01832,0.00311,0.01908,0.28777
230000,1,0.11,0.14,0.0,0,20,0.0,,-6.615418,0,20,0,0,0,0,0.0018,0.01091,0.00448,0.01776,0.26974
235000,1,0.11,0.14,0.0,0,20,0.0,,-6.382458,0,20,0,0,0,0,0.0017,0.0147,0.00339,0.01484,0.25181
240000,1,0.11,0.14,0.0,0,20,0.0,,-6.459365,0,20,0,0,0,0,0.0008,0.01475,0.00382,0.01568,0.26029
245000,1,0.11,0.14,0.0,0,20,0.0,,-6.478457,0,20,0,0,0,0,0.0003,0.01422,0.00276,0.01564,0.2576
250000,1,0.11,0.14,0.0,0,20,0.0,,-6.289465,0,20,0,0,0,0,0.0015,0.00925,0.00346,0.01392,0.2483
255000,1,0.11,0.14,0.0,0,20,0.0,,-6.345078,0,20,0,0,0,0,0.0018,0.00811,0.00346,0.01397,0.24312
260000,1,0.11,0.14,0.0,0,20,0.0,,-6.283528,0,20,0,0,0,0,0.0013,0.0155,0.00376,0.01364,0.24817
265000,1,0.11,0.14,0.0,0,20,0.0,,-6.291222,0,20,0,0,0,0,0.0571,0.02161,0.00487,0.01006,0.23143
270000,1,0.11,0.14,0.0,0,20,0.0,,-9.458784,0,20,0,0,0,0,0.2801,0.0544,0.00478,0.00989,0.23002
275000,1,0.11,0.14,0.0,0,20,0.0,,-6.033146,0,20,0,0,0,0,0.0414,0.01497,0.00367,0.01002,0.2297
280000,1,0.11,0.14,0.0,0,20,0.0,,-6.022276,0,20,0,0,0,0,0.0003,0.01091,0.00321,0.01147,0.23242
285000,1,0.11,0.14,0.0,0,20,0.0,,-6.324032,0,20,0,0,0,0,0.0003,0.01095,0.00403,0.01379,0.24785
290000,1,0.11,0.14,0.0,0,20,0.0,,-6.472162,0,20,0,0,0,0,0.0003,0.0104,0.00461,0.01565,0.26102
295000,1,0.11,0.14,0.0,0,20,0.0,,-6.186605,0,20,0,0,0,0,0.0007,0.01261,0.00277,0.01311,0.24303
300000,1,0.11,0.14,0.0,0,20,0.0,,-6.278244,0,20,0,0,0,0,0.0007,0.01107,0.00296,0.01368,0.24115
305000,1,0.11,0.14,0.0,0,20,0.0,,-6.552772,0,20,0,0,0,0,0.0003,0.0068,0.00217,0.01705,0.26482
310000,1,0.11,0.14,0.0,0,20,0.0,,-6.733238,0,20,0,0,0,0,0.0008,0.00857,0.00206,0.01938,0.28935
315000,1,0.11,0.14,0.0,0,20,0.0,,-6.581157,0,20,0,0,0,0,0.0023,0.01058,0.00227,0.01746,0.26921
320000,1,0.11,0.14,0.0,0,20,0.0,,-6.372021,0,20,0,0,0,0,0.0018,0.01012,0.00331,0.01482,0.24852
325000,1,0.11,0.14,0.0,0,20,0.0,,-6.244904,0,20,0,0,0,0,0.0023,0.0107,0.00388,0.01363,0.24082
330000,1,0.11,0.14,0.0,0,20,0.0,,-6.618496,0,20,0,0,0,0,0.0023,0.00983,0.00251,0.01768,0.27832
335000,1,0.11,0.14,0.0,0,20,0.0,,-6.524793,0,20,0,0,0,0,0.002,0.01466,0.00286,0.01689,0.27058
340000,1,0.11,0.14,0.0,0,20,0.0,,-5.913229,0,20,0,0,0,0,0.0005,0.00829,0.00409,0.01056,0.23465
345000,1,0.11,0.14,0.0,0,20,0.0,,-5.997673,0,20,0,0,0,0,0.0259,0.01006,0.00324,0.01019,0.23134
350000,1,0.11,0.14,0.0,0,20,0.0,,-6.053309,0,20,0,0,0,0,0.0013,0.01516,0.00331,0.01163,0.23602
355000,1,0.11,0.14,0.0,0,20,0.0,,-6.197673,0,20,0,0,0,0,0.0027,0.00897,0.00292,0.0127,0.23539
360000,1,0.11,0.14,0.0,0,20,0.0,,-6.418178,0,20,0,0,0,0,0.0012,0.00847,0.00292,0.01485,0.25394
365000,1,0.11,0.14,0.0,0,20,0.0,,-6.60178,0,20,0,0,0,0,0.0015,0.00749,0.00306,0.01762,0.27677
370000,1,0.11,0.14,0.0,0,20,0.0,,-6.705012,0,20,0,0,0,0,0.0018,0.00792,0.00402,0.01872,0.28514
375000,1,0.11,0.14,0.0,0,20,0.0,,-6.496593,0,20,0,0,0,0,0.0005,0.00827,0.0047,0.01656,0.26566
380000,1,0.11,0.14,0.0,0,20,0.0,,-6.430624,0,20,0,0,0,0,0.0008,0.00788,0.00258,0.01587,0.26481
