episode,step,height_above_pad,horizontal_error,cam_u,cam_v,corners_in_frame,fully_in_frame,centre_in_frame,px_per_cell,loss_cause,aruco_detected,aruco_pos_err
2,62,0.09933,0.04365,0.5103,0.0799,0,False,True,31.78,too_close,False,nan
2,63,0.09182,0.04405,0.5445,0.0713,0,False,True,35.22,too_close,False,nan
2,64,0.08419,0.04444,0.6268,0.0502,0,False,True,41.33,too_close,False,nan
2,65,0.07653,0.04478,0.7192,0.0789,0,False,True,46.24,too_close,False,nan
2,66,0.06924,0.04498,0.7659,0.1887,0,False,True,48.51,too_close,False,nan
2,67,0.06222,0.04517,0.8417,0.3048,0,False,True,58.5,too_close,False,nan
2,68,0.05529,0.0454,1.0328,0.3573,0,False,False,73.21,lateral,False,nan
2,69,0.04858,0.04546,1.2859,0.4224,0,False,False,99.11,lateral,False,nan
2,70,0.04175,0.04516,1.5065,0.5278,0,False,False,121.0,lateral,False,nan
2,71,0.03425,0.04461,1.8827,0.6225,0,False,False,129.22,lateral,False,nan
2,72,0.02628,0.04404,3.04,0.8248,0,False,False,229.4,lateral,False,nan
2,73,0.01879,0.04341,7.238,1.8101,0,False,False,2049.7,lateral,False,nan
2,74,0.0128,0.04269,39.8856,11.1004,0,False,False,6986.17,behind,False,nan
2,75,0.01317,0.04267,30.7265,8.1078,0,False,False,6409.42,behind,False,nan
3,1,0.49919,0.29392,-0.0023,-0.6273,4,True,True,5.59,,True,0.01811675069194164
3,2,0.4968,0.29378,0.061,-0.7059,3,False,True,5.88,tilt,False,nan
3,3,0.49305,0.29316,0.0938,-0.7871,2,False,True,6.26,tilt,False,nan
3,4,0.48893,0.29149,0.092,-0.8102,2,False,True,6.49,tilt,False,nan
3,5,0.48479,0.28852,0.0831,-0.7691,2,False,True,6.37,tilt,False,nan
3,6,0.48035,0.28446,0.1053,-0.729,2,False,True,6.22,tilt,False,nan
3,7,0.47496,0.27955,0.123,-0.7356,2,False,True,6.52,tilt,False,nan
3,8,0.46916,0.2737,0.1037,-0.7347,2,False,True,6.63,tilt,False,nan
3,9,0.46352,0.26681,0.0759,-0.6853,3,False,True,6.32,tilt,False,nan
3,10,0.45831,0.25913,0.0458,-0.6442,4,True,True,6.23,,False,nan
3,11,0.45308,0.25094,0.0084,-0.6405,4,True,True,6.33,,True,0.01623880107853197
3,12,0.44765,0.24226,-0.027,-0.6227,4,True,True,6.39,,True,0.024092854303024883
3,13,0.442,0.23309,-0.0516,-0.5583,4,True,True,6.38,,True,0.018963465505611364
3,14,0.43622,0.22376,-0.0377,-0.5014,4,True,True,6.5,,True,0.01615905755370753
3,15,0.4306,0.2146,-0.0101,-0.4925,4,True,True,6.51,,True,0.02086577105655452
3,16,0.42474,0.20566,-0.016,-0.4802,4,True,True,6.47,,True,0.012655919985382886
3,17,0.41856,0.19692,-0.0328,-0.4269,4,True,True,6.51,,True,0.017386860851514713
3,18,0.41246,0.18865,-0.0138,-0.3812,4,True,True,6.59,,True,0.012371639147556936
3,19,0.40658,0.18119,0.0114,-0.3792,4,True,True,6.7,,True,0.014964473635450212
3,20,0.40038,0.17448,-0.0024,-0.4189,4,True,True,7.08,,True,0.013312295850717167
3,21,0.39419,0.16815,-0.0282,-0.4541,4,True,True,7.22,,True,0.023220002818454447
3,22,0.38813,0.16179,-0.0205,-0.4455,4,True,True,7.19,,True,0.016229103176575024
3,23,0.38201,0.15537,-0.0025,-0.4023,4,True,True,7.3,,True,0.016032319613735378
3,24,0.3761,0.14914,-0.022,-0.3702,4,True,True,7.41,,True,0.012354325294654972
3,25,0.37008,0.14333,-0.0623,-0.3779,4,True,True,7.45,,True,0.013972249655090864
3,26,0.36372,0.13783,-0.0715,-0.3789,4,True,True,7.82,,True,0.014488923577472453
3,27,0.35732,0.13254,-0.0681,-0.3425,4,True,True,7.79,,True,0.014159476173717512
3,28,0.35113,0.12768,-0.0982,-0.3143,4,True,True,7.87,,True,0.011451713283640495
